iso,pays,annee,perte_biomasse_Mg,perte_surface_ha
SMR,Saint-Marin,2002,8.081914263259089,0.11147912894096587
SOM,Somalie,2002,20655.952006414755,250.8913304198358
SPM,Saint-Pierre-et-Miquelon,2002,5.229170366406695,0.10585656288411607
SRB,Serbie,2002,204207.46355113853,1134.989088454789
SSD,Sud-Soudan,2002,814775.9239029256,8148.679824300625
SUR,Suriname,2002,1138894.5201311428,3717.4775623941987
SVK,Slovaquie,2002,783769.8744596745,4015.7325045575617
SVN,Slovenie,2002,139879.470941697,723.8725078303687
SWE,Suede,2002,15051126.469203524,178264.08081175372
SWZ,Eswatini,2002,953517.8671556425,3800.7658382555087
SYC,Seychelles,2002,28.699789994566512,0.22777533419812074
SYR,Syrie,2002,17010.52184391045,147.999194069988
TCA,Iles Turques-et-Caiques,2002,294.1519191754541,4.652026517454742
TCD,Tchad,2002,218034.6728085247,1958.475829864037
TGO,Togo,2002,222120.67222291656,2020.7854826405598
THA,Thailande,2002,13373636.334596874,60882.18973660287
TJK,Tadjikistan,2002,4021.1056708412934,36.63912048615034
TKM,Turkmenistan,2002,11061.608267128511,105.1787400619726
TLS,Timor-Leste,2002,383060.6087429605,1604.5988977452112
TTO,Trinite-et-Tobago,2002,137950.30766178473,726.0770093425072
TUN,Tunisie,2002,27767.881283835282,243.87173866611772
TUR,Turquie,2002,2702488.469195084,25722.221416789405
TWN,Taiwan,2002,222402.27185053632,1004.5740217444825
TZA,Tanzanie,2002,12080087.593684942,85080.90089418052
UGA,Ouganda,2002,1662934.3368986708,10840.696812711081
UKR,Ukraine,2002,3672618.921565937,27077.01970561094
UMI,Iles mineures eloignees des Etats-Unis,2002,,6.50553305832537
URY,Uruguay,2002,710560.3392001146,6870.118670349908
USA,Etats-Unis,2002,341131526.83426744,2038435.691035805
UZB,Ouzbekistan,2002,27462.71397387545,265.23171881232344
VCT,Saint-Vincent-et-les Grenadines,2002,1726.4127407854296,7.9459989489505425
VEN,Venezuela,2002,14055943.19236148,90372.37707651248
VGB,British Virgin Islands,2002,519.8436332100703,2.996441556330125
VIR,Iles Vierges americaines,2002,3445.3033521233338,20.902833133086027
VNM,Viet Nam,2002,10100430.059043273,49625.43782322283
VUT,Vanuatu,2002,18935.458990537143,108.23964961367659
XAD,Akrotiri et Dhekelia,2002,55.616092683675234,0.5072022267360823
XKO,Kosovo,2002,37753.325749631826,214.90788225391225
XNC,Chypre du Nord,2002,312.1528432319787,3.340847416699047
ZAF,Afrique du Sud,2002,9835589.082699168,47679.934141514124
ZMB,Zambie,2002,7124769.769702695,46240.243613439176
ZWE,Zimbabwe,2002,1130405.2624665236,8016.170850724262
AFG,Afghanistan,2003,32914.87467118064,244.3362551767149
AGO,Angola,2003,6878544.403578045,52461.545465712145
ALA,Iles Aland,2003,19642.335625314532,220.77485519450892
ALB,Albanie,2003,88748.17289467267,613.5339649961658
AND,Andorre,2003,52.96158363328376,0.34206364213546203
ARG,Argentine,2003,18495872.756955683,249155.00689301477
ARM,Armenie,2003,60543.22313604143,395.81669491842433
ATG,Antigua-et-Barbuda,2003,2216.4659408352977,17.07802261138942
AUS,Australie,2003,33600436.681515686,373846.7772253438
AUT,Autriche,2003,2566230.9275670233,14475.694826399038
AZE,Azerbaidjan,2003,137134.34710325723,1039.3415511612166
BDI,Burundi,2003,199759.48540306612,1325.1833183144024
BEL,Belgique,2003,402927.13811618136,1889.7775126456472
BEN,Benin,2003,410662.44371555216,3475.9264146506775
BES,Pays-Bas caribeens,2003,3163.2346569745346,16.150189673179547
BFA,Burkina Faso,2003,222.69720101414754,2.0382434837905903
BGD,Bangladesh,2003,460754.6452629456,2159.4571583422016
BGR,Bulgarie,2003,709907.9061938517,5198.715557750091
BHS,Bahamas,2003,21954.241639769953,274.2308762507959
BIH,Bosnie-Herzegovine,2003,54394.438147829525,307.8114116824445
BLR,Bielorussie,2003,3987745.6722038803,32119.381563075163
BLZ,Belize,2003,1209391.2579724593,6843.896175354131
BMU,Bermudes,2003,10.96834334951501,0.13057024276584386
BOL,Bolivie,2003,32011591.720819753,163759.09875803598
BRA,Bresil,2003,595451252.3885639,3248526.734428088
BRB,Barbade,2003,373.96978665320194,2.997849386848788
BRN,Brunei Darussalam,2003,213654.60546381978,799.1767213173893
BTN,Bhoutan,2003,121735.97991654847,543.6007672864491
BWA,Botswana,2003,582.2968884956144,8.572551343820946
CAF,Republique centrafricaine,2003,2869838.02891509,13726.637877635056
CAN,Canada,2003,130251031.37665647,1607282.5796400004
CHE,Suisse,2003,85132.35932034568,433.28288506458534
CHL,Chili,2003,10918262.447642583,82843.7640363455
CHN,Chine,2003,42364303.3405429,261761.495223037
CIV,Cote d Ivoire,2003,13525234.823163517,86282.29678784577
CMR,Cameroun,2003,5712565.992543773,25344.846357118877
COD,Republique democratique du Congo,2003,59595495.41133246,274739.99936612544
COG,Republique du Congo,2003,4142800.522274348,18514.842518351044
COL,Colombie,2003,24514941.531244226,122417.144833926
COM,Comores,2003,5200.879627345548,26.653313946282292
CPV,Cap-Vert,2003,,8.925222414318611
CRI,Costa Rica,2003,1656149.8853106366,8260.607754757673
CUB,Cuba,2003,753901.7824569662,6556.68391545596
CYM,Iles Cayman,2003,544.0045939889925,6.324797603707653
CYP,Chypre,2003,2427.4167313010366,25.22916781325467
CZE,Republique tcheque,2003,731314.3540419824,3925.277971307641
DEU,Allemagne,2003,1289650.622869695,6448.617531415097
DMA,Dominique,2003,6697.516860838059,27.238702436101477
DNK,Danemark,2003,166355.4800913529,1579.7132602724557
DOM,Republique dominicaine,2003,1703200.2331083303,10714.001580517699
DZA,Algerie,2003,430497.3931139126,3831.4371131813905
ECU,equateur,2003,3419235.621596555,13835.572576194267
EGY,egypte,2003,5488.690678656691,61.01187804403611
ESP,Espagne,2003,3133851.300498542,23315.393436021164
EST,Estonie,2003,597783.0674975263,5632.561978609516
ETH,ethiopie,2003,2647882.5880188392,13936.041223504031
FIN,Finlande,2003,7144053.280415643,89696.55115480683
FJI,Fidji,2003,352346.95685132267,1572.2359040041563
FRA,France,2003,4497698.963714279,26393.33417695085
GAB,Gabon,2003,4144836.1592310946,16845.220309588076
GBR,Royaume-Uni,2003,257053.96477446362,1875.1673696683638
GEO,Georgie,2003,49845.24914772095,292.00268502888684
GHA,Ghana,2003,3989692.6491031395,24955.249024742956
GIN,Guinee,2003,1404929.5781741706,9229.458008573074
GLP,Guadeloupe,2003,12480.451527936053,76.87749933855713
GMB,Gambie,2003,975.5062048381376,10.565436645513307
GNB,Guinee-Bissau,2003,129463.09303827195,1021.87736427059
GNQ,Guinee equatoriale,2003,506247.5198552435,1961.1875362739288
GRC,Grece,2003,261268.5128629192,2562.5351736106754
